Time,Unsubtracted Heat Flow,Baseline Heat Flow,Program Temperature,Sample Temperature,Approx. Gas Flow,Heat Flow Calibration,Uncorrected Heat Flow, 
0.000000,9.261655,0.190191,30.020000,30.058000,0.000000,1.056615,9.261655, 
0.000417,9.261761,0.245452,30.058000,30.062000,0.000000,1.056615,9.261761, 
0.000833,9.264086,0.306630,30.100000,30.062000,0.000000,1.056615,9.264086, 
0.001250,9.271376,0.372880,30.137000,30.066000,0.000000,1.056615,9.271376, 
0.001667,9.284690,0.443461,30.179000,30.066000,0.000000,1.056615,9.284690, 
0.002083,9.305716,0.518164,30.216000,30.066000,0.000000,1.056615,9.305716, 
0.002500,9.335090,0.596037,30.258000,30.066000,0.000000,1.056615,9.335090, 
0.002917,9.371860,0.677290,30.300000,30.066000,0.000000,1.056615,9.371860, 
0.003333,9.416450,0.760552,30.337000,30.066000,0.000000,1.056615,9.416450, 
0.003750,9.468224,0.845926,30.379000,30.062000,0.000000,1.056615,9.468224, 
0.004167,9.526232,0.932463,30.416000,30.062000,0.000000,1.056615,9.526232, 
0.004583,9.590368,1.020373,30.458000,30.062000,0.000000,1.056615,9.590368, 
0.005000,9.659260,1.109446,30.495000,30.062000,0.000000,1.056615,9.659260, 
0.005417,9.732695,1.198096,30.537000,30.066000,0.000000,1.056615,9.732695, 
0.005833,9.810461,1.287063,30.579000,30.070000,0.000000,1.056615,9.810461, 
0.006250,9.891398,1.376347,30.616000,30.070000,0.000000,1.056615,9.891398, 
0.006667,9.974871,1.464891,30.658000,30.075000,0.000000,1.056615,9.974871, 
0.007083,10.060985,1.553224,30.695000,30.075000,0.000000,1.056615,10.060985, 
0.007500,10.149107,1.640712,30.737000,30.079000,0.000000,1.056615,10.149107, 
0.007917,10.238919,1.727143,30.775000,30.083000,0.000000,1.056615,10.238919, 
0.008333,10.329260,1.811990,30.816000,30.091000,0.000000,1.056615,10.329260, 
0.008750,10.420445,1.895462,30.858000,30.095000,0.000000,1.056615,10.420445, 
0.009167,10.512265,1.977244,30.895000,30.095000,0.000000,1.056615,10.512265, 
0.009583,10.603662,2.057441,30.937000,30.100000,0.000000,1.056615,10.603662, 
0.010000,10.695271,2.135419,30.975000,30.108000,0.000000,1.056615,10.695271, 
0.010417,10.786774,2.210650,31.016000,30.116000,0.000000,1.056615,10.786774, 
0.010833,10.877220,2.283663,31.058000,30.120000,0.000000,1.056615,10.877220, 
0.011250,10.967244,2.354139,31.095000,30.133000,0.000000,1.056615,10.967244, 
0.011667,11.056211,2.421234,31.137000,30.145000,0.000000,1.056615,11.056211, 
0.012083,11.143276,2.485053,31.175000,30.158000,0.000000,1.056615,11.143276, 
0.012500,11.229496,2.545597,31.216000,30.166000,0.000000,1.056615,11.229496, 
0.012917,11.313919,2.602232,31.254000,30.175000,0.000000,1.056615,11.313919, 
