Time,Unsubtracted Heat Flow,Baseline Heat Flow,Program Temperature,Sample Temperature,Approx. Gas Flow,Heat Flow Calibration,Uncorrected Heat Flow, 
0,9.261655,0.190191,30.02,30.058,0,1.056615,9.261655, 
0.000417,9.261761,0.245452,30.058,30.062,0,1.056615,9.261761, 
0.000833,9.264086,0.30663,30.1,30.062,0,1.056615,9.264086, 
0.00125,9.271376,0.37288,30.137,30.066,0,1.056615,9.271376, 
0.001667,9.28469,0.443461,30.179,30.066,0,1.056615,9.28469, 
0.002083,9.305716,0.518164,30.216,30.066,0,1.056615,9.305716, 
0.0025,9.33509,0.596037,30.258,30.066,0,1.056615,9.33509, 
0.002917,9.37186,0.67729,30.3,30.066,0,1.056615,9.37186, 
0.003333,9.41645,0.760552,30.337,30.066,0,1.056615,9.41645, 
0.00375,9.468224,0.845926,30.379,30.062,0,1.056615,9.468224, 
0.004167,9.526232,0.932463,30.416,30.062,0,1.056615,9.526232, 
0.004583,9.590368,1.020373,30.458,30.062,0,1.056615,9.590368, 
0.005,9.65926,1.109446,30.495,30.062,0,1.056615,9.65926, 
0.005417,9.732695,1.198096,30.537,30.066,0,1.056615,9.732695, 
0.005833,9.810461,1.287063,30.579,30.07,0,1.056615,9.810461, 
0.00625,9.891398,1.376347,30.616,30.07,0,1.056615,9.891398, 
0.006667,9.974871,1.464891,30.658,30.075,0,1.056615,9.974871, 
0.007083,10.060985,1.553224,30.695,30.075,0,1.056615,10.060985, 
0.0075,10.149107,1.640712,30.737,30.079,0,1.056615,10.149107, 
0.007917,10.238919,1.727143,30.775,30.083,0,1.056615,10.238919, 
0.008333,10.32926,1.81199,30.816,30.091,0,1.056615,10.32926, 
0.00875,10.420445,1.895462,30.858,30.095,0,1.056615,10.420445, 
0.009167,10.512265,1.977244,30.895,30.095,0,1.056615,10.512265, 
0.009583,10.603662,2.057441,30.937,30.1,0,1.056615,10.603662, 
0.01,10.695271,2.135419,30.975,30.108,0,1.056615,10.695271, 
0.010417,10.786774,2.21065,31.016,30.116,0,1.056615,10.786774, 
0.010833,10.87722,2.283663,31.058,30.12,0,1.056615,10.87722, 
0.01125,10.967244,2.354139,31.095,30.133,0,1.056615,10.967244, 
0.011667,11.056211,2.421234,31.137,30.145,0,1.056615,11.056211, 
0.012083,11.143276,2.485053,31.175,30.158,0,1.056615,11.143276, 
0.0125,11.229496,2.545597,31.216,30.166,0,1.056615,11.229496, 
0.012917,11.313919,2.602232,31.254,30.175,0,1.056615,11.313919, 
0.013333,11.396018,2.655063,31.295,30.187,0,1.056615,11.396018, 
0.01375,11.476004,2.703878,31.337,30.204,0,1.056615,11.476004, 
0.014167,11.553982,2.748045,31.375,30.22,0,1.056615,11.553982, 
0.014583,11.629425,2.787879,31.416,30.233,0,1.056615,11.629425, 
0.015,11.701697,2.822325,31.454,30.25,0,1.056615,11.701697, 
0.015417,11.771328,2.85191,31.495,30.266,0,1.056615,11.771328, 
0.015833,11.837472,2.876001,31.537,30.287,0,1.056615,11.837472, 
0.01625,11.900129,2.894703,31.575,30.304,0,1.056615,11.900129, 
0.016667,11.958877,2.9077,31.616,30.32,0,1.056615,11.958877, 
0.017083,12.014033,2.914568,31.654,30.345,0,1.056615,12.014033, 
0.0175,12.065173,2.91573,31.695,30.366,0,1.056615,12.065173, 
0.017917,12.111347,2.910658,31.733,30.387,0,1.056615,12.111347, 
0.018333,12.1534,2.89893,31.775,30.408,0,1.056615,12.1534, 
0.01875,12.190382,2.880967,31.816,30.437,0,1.056615,12.190382, 
0.019167,12.222503,2.856137,31.854,30.462,0,1.056615,12.222503, 
0.019583,12.249024,2.824861,31.895,30.483,0,1.056615,12.249024, 
0.02,12.270473,2.786928,31.933,30.508,0,1.056615,12.270473, 
0.020417,12.286111,2.741705,31.975,30.533,0,1.056615,12.286111, 
0.020833,12.296043,2.689508,32.016,30.562,0,1.056615,12.296043, 
0.02125,12.29953,2.630866,32.054,30.587,0,1.056615,12.29953, 
0.021667,12.296994,2.564617,32.095,30.616,0,1.056615,12.296994, 
0.022083,12.288224,2.491921,32.133,30.641,0,1.056615,12.288224, 
0.0225,12.273009,2.412253,32.175,30.67,0,1.056615,12.273009, 
0.022917,12.251137,2.32561,32.212,30.7,0,1.056615,12.251137, 
0.023333,12.222291,2.231888,32.254,30.729,0,1.056615,12.222291, 
0.02375,12.187,2.131087,32.295,30.762,0,1.056615,12.187, 
0.024167,12.145053,2.023947,32.333,30.795,0,1.056615,12.145053, 
0.024583,12.096026,1.910149,32.375,30.825,0,1.056615,12.096026, 
0.025,12.039814,1.789906,32.412,30.85,0,1.056615,12.039814, 
0.025417,11.97684,1.662795,32.454,30.883,0,1.056615,11.97684, 
0.025833,11.90668,1.529979,32.491,30.916,0,1.056615,11.90668, 
0.02625,11.830076,1.390294,32.533,30.95,0,1.056615,11.830076, 
0.026667,11.746181,1.245327,32.575,30.979,0,1.056615,11.746181, 
0.027083,11.6551,1.094125,32.612,31.012,0,1.056615,11.6551, 
0.0275,11.557575,0.937429,32.654,31.05,0,1.056615,11.557575, 
0.027917,11.452864,0.77545,32.691,31.083,0,1.056615,11.452864, 
0.028333,11.341286,0.607871,32.733,31.12,0,1.056615,11.341286, 
0.02875,11.223473,0.435325,32.775,31.154,0,1.056615,11.223473, 
0.029167,11.098687,0.258237,32.812,31.187,0,1.056615,11.098687, 
0.029583,10.967772,0.075865,32.854,31.22,0,1.056615,10.967772, 
0.03,10.830306,-0.110205,32.891,31.258,0,1.056615,10.830306, 
0.030417,10.687346,-0.30103,32.933,31.291,0,1.056615,10.687346, 
0.030833,10.537835,-0.495024,32.97,31.329,0,1.056615,10.537835, 
0.03125,10.382724,-0.693351,33.012,31.362,0,1.056615,10.382724, 
0.031667,10.221802,-0.894953,33.054,31.404,0,1.056615,10.221802, 
0.032083,10.055596,-1.099303,33.091,31.437,0,1.056615,10.055596, 
0.0325,9.883579,-1.306822,33.133,31.475,0,1.056615,9.883579, 
0.032917,9.707124,-1.517722,33.17,31.512,0,1.056615,9.707124, 
0.033333,9.525598,-1.730313,33.212,31.55,0,1.056615,9.525598, 
0.03375,9.339845,-1.945863,33.254,31.583,0,1.056615,9.339845, 
0.034167,9.149337,-2.163103,33.291,31.625,0,1.056615,9.149337, 
0.034583,8.954497,-2.381822,33.333,31.662,0,1.056615,8.954497, 
0.035,8.755537,-2.601915,33.37,31.704,0,1.056615,8.755537, 
0.035417,8.553195,-2.823804,33.412,31.741,0,1.056615,8.553195, 
0.035833,8.347049,-3.046327,33.45,31.779,0,1.056615,8.347049, 
0.03625,8.138156,-3.269907,33.491,31.816,0,1.056615,8.138156, 
0.036667,7.925988,-3.493381,33.533,31.854,0,1.056615,7.925988, 
0.037083,7.711073,-3.718546,33.57,31.891,0,1.056615,7.711073, 
0.0375,7.49341,-3.94276,33.612,31.929,0,1.056615,7.49341, 
0.037917,7.273739,-4.166868,33.65,31.97,0,1.056615,7.273739, 
0.038333,7.052062,-4.390976,33.691,32.008,0,1.056615,7.052062, 
0.03875,6.82827,-4.614345,33.733,32.045,0,1.056615,6.82827, 
0.039167,6.602894,-4.837079,33.77,32.087,0,1.056615,6.602894, 
0.039583,6.376462,-5.058968,33.812,32.125,0,1.056615,6.376462, 
0.04,6.14855,-5.279167,33.85,32.166,0,1.056615,6.14855, 
0.040417,5.920004,-5.498837,33.891,32.204,0,1.056615,5.920004, 
0.040833,5.691352,-5.716289,33.929,32.245,0,1.056615,5.691352, 
0.04125,5.46175,-5.932049,33.97,32.287,0,1.056615,5.46175, 
0.041667,5.23183,-6.146542,34.012,32.329,0,1.056615,5.23183, 
0.042083,5.002651,-6.358605,34.05,32.37,0,1.056615,5.002651, 
0.0425,4.773259,-6.569294,34.091,32.404,0,1.056615,4.773259, 
0.042917,4.544291,-6.776496,34.129,32.445,0,1.056615,4.544291, 
0.043333,4.316062,-6.981902,34.17,32.487,0,1.056615,4.316062, 
0.04375,4.08889,-7.18435,34.212,32.525,0,1.056615,4.08889, 
0.044167,3.862457,-7.384261,34.25,32.566,0,1.056615,3.862457, 
0.044583,3.637715,-7.581426,34.291,32.608,0,1.056615,3.637715, 
0.045,3.414241,-7.775209,34.329,32.645,0,1.056615,3.414241, 
0.045417,3.192669,-7.966562,34.37,32.687,0,1.056615,3.192669, 
0.045833,2.97247,-8.154323,34.408,32.733,0,1.056615,2.97247, 
0.04625,2.754702,-8.338702,34.45,32.77,0,1.056615,2.754702, 
0.046667,2.538835,-8.519806,34.491,32.812,0,1.056615,2.538835, 
0.047083,2.325082,-8.697423,34.529,32.85,0,1.056615,2.325082, 
0.0475,2.114287,-8.871553,34.57,32.891,0,1.056615,2.114287, 
0.047917,1.905817,-9.041985,34.608,32.929,0,1.056615,1.905817, 
0.048333,1.700411,-9.209036,34.65,32.97,0,1.056615,1.700411, 
0.04875,1.497541,-9.371543,34.687,33.008,0,1.056615,1.497541, 
0.049167,1.297946,-9.530987,34.729,33.054,0,1.056615,1.297946, 
0.049583,1.10131,-9.686626,34.77,33.095,0,1.056615,1.10131, 
0.05,0.908161,-9.837933,34.808,33.137,0,1.056615,0.908161, 
0.050417,0.718287,-9.985543,34.85,33.179,0,1.056615,0.718287, 
0.050833,0.5319,-10.129348,34.887,33.22,0,1.056615,0.5319, 
0.05125,0.349,-10.268821,34.929,33.258,0,1.056615,0.349, 
0.051667,0.169375,-10.404385,34.97,33.304,0,1.056615,0.169375, 
0.052083,-0.005494,-10.535933,35.008,33.341,0,1.056615,-0.005494, 
0.0525,-0.177194,-10.663256,35.05,33.383,0,1.056615,-0.177194, 
0.052917,-0.344562,-10.786668,35.087,33.42,0,1.056615,-0.344562, 
0.053333,-0.508338,-10.90596,35.129,33.462,0,1.056615,-0.508338, 
0.05375,-0.668098,-11.021026,35.166,33.5,0,1.056615,-0.668098, 
0.054167,-0.823843,-11.132393,35.208,33.537,0,1.056615,-0.823843, 
0.054583,-0.974939,-11.239534,35.25,33.579,0,1.056615,-0.974939, 
0.055,-1.122125,-11.342765,35.287,33.62,0,1.056615,-1.122125, 
0.055417,-1.265085,-11.441241,35.329,33.658,0,1.056615,-1.265085, 
0.055833,-1.403713,-11.536759,35.366,33.7,0,1.056615,-1.403713, 
0.05625,-1.537692,-11.627311,35.408,33.737,0,1.056615,-1.537692, 
0.056667,-1.667867,-11.714693,35.45,33.779,0,1.056615,-1.667867, 
0.057083,-1.793393,-11.797743,35.487,33.82,0,1.056615,-1.793393, 
0.0575,-1.914481,-11.87699,35.529,33.862,0,1.056615,-1.914481, 
0.057917,-2.031026,-11.951904,35.566,33.904,0,1.056615,-2.031026, 
0.058333,-2.143767,-12.023436,35.608,33.941,0,1.056615,-2.143767, 
0.05875,-2.25133,-12.090954,35.645,33.983,0,1.056615,-2.25133, 
0.059167,-2.35509,-12.154774,35.687,34.025,0,1.056615,-2.35509, 
0.059583,-2.453883,-12.215001,35.729,34.066,0,1.056615,-2.453883, 
0.06,-2.548239,-12.271213,35.766,34.104,0,1.056615,-2.548239, 
0.060417,-2.63858,-12.32436,35.808,34.141,0,1.056615,-2.63858, 
0.060833,-2.724377,-12.373176,35.845,34.183,0,1.056615,-2.724377, 
0.06125,-2.805525,-12.418928,35.887,34.225,0,1.056615,-2.805525, 
0.061667,-2.882552,-12.461615,35.929,34.266,0,1.056615,-2.882552, 
0.062083,-2.95493,-12.499864,35.966,34.308,0,1.056615,-2.95493, 
0.0625,-3.023082,-12.535367,36.008,34.35,0,1.056615,-3.023082, 
0.062917,-3.086901,-12.567699,36.045,34.391,0,1.056615,-3.086901, 
0.063333,-3.1466,-12.596545,36.087,34.429,0,1.056615,-3.1466, 
0.06375,-3.201756,-12.622115,36.125,34.466,0,1.056615,-3.201756, 
0.064167,-3.253107,-12.644515,36.166,34.504,0,1.056615,-3.253107, 
0.064583,-3.299704,-12.663957,36.208,34.545,0,1.056615,-3.299704, 
0.065,-3.342391,-12.680334,36.245,34.587,0,1.056615,-3.342391, 
0.065417,-3.381063,-12.694176,36.287,34.629,0,1.056615,-3.381063, 
0.065833,-3.41572,-12.704848,36.325,34.67,0,1.056615,-3.41572, 
0.06625,-3.446573,-12.712772,36.366,34.712,0,1.056615,-3.446573, 
0.066667,-3.4732,-12.71795,36.404,34.75,0,1.056615,-3.4732, 
0.067083,-3.4956,-12.720063,36.445,34.787,0,1.056615,-3.4956, 
0.0675,-3.514514,-12.719852,36.487,34.829,0,1.056615,-3.514514, 
0.067917,-3.529412,-12.717104,36.525,34.87,0,1.056615,-3.529412, 
0.068333,-3.540612,-12.71161,36.566,34.912,0,1.056615,-3.540612, 
0.06875,-3.548114,-12.704214,36.604,34.95,0,1.056615,-3.548114, 
0.069167,-3.551918,-12.694176,36.645,34.991,0,1.056615,-3.551918, 
0.069583,-3.552024,-12.681708,36.687,35.033,0,1.056615,-3.552024, 
0.07,-3.549065,-12.667232,36.725,35.079,0,1.056615,-3.549065, 
0.070417,-3.54188,-12.650643,36.766,35.116,0,1.056615,-3.54188, 
0.070833,-3.531842,-12.631941,36.804,35.158,0,1.056615,-3.531842, 
0.07125,-3.518423,-12.611337,36.845,35.195,0,1.056615,-3.518423, 
0.071667,-3.501412,-12.588514,36.883,35.233,0,1.056615,-3.501412, 
0.072083,-3.481019,-12.563895,36.925,35.27,0,1.056615,-3.481019, 
0.0725,-3.457668,-12.537163,36.966,35.308,0,1.056615,-3.457668, 
0.072917,-3.431147,-12.508951,37.004,35.35,0,1.056615,-3.431147, 
0.073333,-3.401773,-12.479155,37.045,35.391,0,1.056615,-3.401773, 
0.07375,-3.369018,-12.44735,37.083,35.433,0,1.056615,-3.369018, 
0.074167,-3.333621,-12.41375,37.125,35.475,0,1.056615,-3.333621, 
0.074583,-3.29516,-12.379516,37.166,35.516,0,1.056615,-3.29516, 
0.075,-3.254058,-12.343168,37.204,35.554,0,1.056615,-3.254058, 
0.075417,-3.210103,-12.305553,37.245,35.591,0,1.056615,-3.210103, 
0.075833,-3.163189,-12.266458,37.283,35.633,0,1.056615,-3.163189, 
0.07625,-3.114162,-12.226095,37.325,35.675,0,1.056615,-3.114162, 
0.076667,-3.062388,-12.184465,37.362,35.716,0,1.056615,-3.062388, 
0.077083,-3.008289,-12.1422,37.404,35.754,0,1.056615,-3.008289, 
0.0775,-2.951232,-12.097928,37.445,35.8,0,1.056615,-2.951232, 
0.077917,-2.892273,-12.053339,37.483,35.837,0,1.056615,-2.892273, 
0.078333,-2.830884,-12.00727,37.525,35.875,0,1.056615,-2.830884, 
0.07875,-2.76717,-11.959828,37.562,35.912,0,1.056615,-2.76717, 
0.079167,-2.701554,-11.912281,37.604,35.95,0,1.056615,-2.701554, 
0.079583,-2.633297,-11.863465,37.645,35.991,0,1.056615,-2.633297, 
0.08,-2.563454,-11.81391,37.683,36.033,0,1.056615,-2.563454, 
0.080417,-2.491182,-11.763298,37.725,36.075,0,1.056615,-2.491182, 
0.080833,-2.417641,-11.712158,37.762,36.116,0,1.056615,-2.417641, 
0.08125,-2.341776,-11.660278,37.804,36.154,0,1.056615,-2.341776, 
0.081667,-2.264432,-11.60787,37.841,36.195,0,1.056615,-2.264432, 
0.082083,-2.184658,-11.554933,37.883,36.237,0,1.056615,-2.184658, 
0.0825,-2.103404,-11.501152,37.925,36.275,0,1.056615,-2.103404, 
0.082917,-2.020988,-11.447158,37.962,36.312,0,1.056615,-2.020988, 
0.083333,-1.936459,-11.392531,38.004,36.354,0,1.056615,-1.936459, 
0.08375,-1.850767,-11.337482,38.041,36.391,0,1.056615,-1.850767, 
0.084167,-1.763385,-11.282115,38.083,36.437,0,1.056615,-1.763385, 
0.084583,-1.674524,-11.22622,38.12,36.475,0,1.056615,-1.674524, 
0.085,-1.584289,-11.170114,38.162,36.512,0,1.056615,-1.584289, 
0.085417,-1.492575,-11.113796,38.204,36.554,0,1.056615,-1.492575, 
0.085833,-1.39991,-11.057056,38.241,36.595,0,1.056615,-1.39991, 
0.08625,-1.305659,-11.000316,38.283,36.633,0,1.056615,-1.305659, 
0.086667,-1.210775,-10.943364,38.32,36.675,0,1.056615,-1.210775, 
