Time,Unsubtracted Heat Flow,Baseline Heat Flow,Program Temperature,Sample Temperature,Approx. Gas Flow,Heat Flow Calibration,Uncorrected Heat Flow, 
0.000000,10.446227,0.224742,30.016000,30.070000,0.000000,1.056615,10.446227, 
0.000417,10.440944,0.287188,30.058000,30.070000,0.000000,1.056615,10.440944, 
0.000833,10.437985,0.355974,30.095000,30.070000,0.000000,1.056615,10.437985, 
0.001250,10.440204,0.430676,30.137000,30.070000,0.000000,1.056615,10.440204, 
0.001667,10.449819,0.509711,30.175000,30.070000,0.000000,1.056615,10.449819, 
0.002083,10.467676,0.593395,30.216000,30.070000,0.000000,1.056615,10.467676, 
0.002500,10.494725,0.680355,30.258000,30.066000,0.000000,1.056615,10.494725, 
0.002917,10.530439,0.770695,30.295000,30.066000,0.000000,1.056615,10.530439, 
0.003333,10.575240,0.863255,30.337000,30.066000,0.000000,1.056615,10.575240, 
0.003750,10.627436,0.957822,30.375000,30.070000,0.000000,1.056615,10.627436, 
0.004167,10.687241,1.053551,30.416000,30.070000,0.000000,1.056615,10.687241, 
0.004583,10.753596,1.150760,30.454000,30.070000,0.000000,1.056615,10.753596, 
0.005000,10.825763,1.247968,30.495000,30.070000,0.000000,1.056615,10.825763, 
0.005417,10.902685,1.346128,30.537000,30.066000,0.000000,1.056615,10.902685, 
0.005833,10.984044,1.443970,30.575000,30.070000,0.000000,1.056615,10.984044, 
0.006250,11.069524,1.541390,30.616000,30.075000,0.000000,1.056615,11.069524, 
0.006667,11.157857,1.638705,30.654000,30.079000,0.000000,1.056615,11.157857, 
0.007083,11.248937,1.735068,30.695000,30.079000,0.000000,1.056615,11.248937, 
0.007500,11.341497,1.829846,30.737000,30.083000,0.000000,1.056615,11.341497, 
0.007917,11.436170,1.924096,30.775000,30.083000,0.000000,1.056615,11.436170, 
0.008333,11.531159,2.016339,30.816000,30.087000,0.000000,1.056615,11.531159, 
0.008750,11.626889,2.107102,30.854000,30.091000,0.000000,1.056615,11.626889, 
0.009167,11.723358,2.195435,30.895000,30.095000,0.000000,1.056615,11.723358, 
0.009583,11.819404,2.282289,30.933000,30.104000,0.000000,1.056615,11.819404, 
0.010000,11.915028,2.366079,30.975000,30.116000,0.000000,1.056615,11.915028, 
0.010417,12.010229,2.447649,31.016000,30.120000,0.000000,1.056615,12.010229, 
0.010833,12.104479,2.526473,31.054000,30.129000,0.000000,1.056615,12.104479, 
0.011250,12.197461,2.602338,31.095000,30.141000,0.000000,1.056615,12.197461, 
0.011667,12.289175,2.674610,31.133000,30.150000,0.000000,1.056615,12.289175, 
0.012083,12.379093,2.743713,31.175000,30.158000,0.000000,1.056615,12.379093, 
0.012500,12.467215,2.809117,31.212000,30.170000,0.000000,1.056615,12.467215, 
0.012917,12.553012,2.870401,31.254000,30.183000,0.000000,1.056615,12.553012, 
0.013333,12.636802,2.927881,31.295000,30.195000,0.000000,1.056615,12.636802, 
0.013750,12.717844,2.980500,31.333000,30.208000,0.000000,1.056615,12.717844, 
0.014167,12.796139,3.028999,31.375000,30.225000,0.000000,1.056615,12.796139, 
0.014583,12.871476,3.072743,31.412000,30.237000,0.000000,1.056615,12.871476, 
0.015000,12.943748,3.111626,31.454000,30.254000,0.000000,1.056615,12.943748, 
,
