Configuration,Samples,Dry_Weight,Wet_Weight,Length,Width,Thickness
LH02_0D_N04,1,0.7122,0.1277,38,8,2
LH02_0D_N04,2,0.7159,0.1533,38,8,2
LH02_0D_N04,3,0.7181,0.1399,38,8,2
LH02_0D_N04,4,0.7153,0.1378,38,8,2
LH02_0D_N04,5,0.7175,0.1271,38,8,2
LH01_0D_N04,1,0.7427,0.1576,38,8,2
LH01_0D_N04,2,0.7443,0.1575,38,8,2
LH01_0D_N04,3,0.7462,0.1586,38,8,2
LH01_0D_N04,4,0.7484,0.1405,38,8,2
LH01_0D_N04,5,0.7431,0.159,38,8,2
LH005_0D_N04,1,0.7545,0.1597,38,8,2
LH005_0D_N04,2,0.7555,0.1562,38,8,2
LH005_0D_N04,3,0.7527,0.1434,38,8,2
LH005_0D_N04,4,0.7521,0.163,38,8,2
LH005_0D_N04,5,0.7531,0.1631,38,8,2
LH02_90D_N04,1,0.7395,0.1487,38,8,2
LH02_90D_N04,2,0.7484,0.1541,38,8,2
LH02_90D_N04,3,0.7452,0.1558,38,8,2
LH02_90D_N04,4,0.7416,0.1508,38,8,2
LH02_90D_N04,5,0.748,0.1485,38,8,2
LH01_90D_N04,1,0.741,0.1578,38,8,2
LH01_90D_N04,2,0.7441,0.1594,38,8,2
LH01_90D_N04,3,0.7281,0.1527,38,8,2
LH01_90D_N04,4,0.7331,0.1587,38,8,2
LH01_90D_N04,5,0.7335,0.1569,38,8,2
LH005_90D_N04,1,0.7485,0.1624,38,8,2
LH005_90D_N04,2,0.7524,0.1643,38,8,2
LH005_90D_N04,3,0.7475,0.1612,38,8,2
LH005_90D_N04,4,0.7499,0.1637,38,8,2
LH005_90D_N04,5,0.7505,0.1623,38,8,2
